tourney_name,surface,tourney_level,winner_id,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_hand,loser_ht,loser_ioc,loser_age,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
Pune,Hard,A,134868,R,188.0,NED,26.5,106065,R,185.0,ITA,30.2,3,R16,75.0,7.0,2.0,54.0,35.0,29.0,14.0,10.0,0.0,0.0,3.0,3.0,58.0,36.0,25.0,12.0,10.0,3.0,5.0
Pune,Hard,A,124079,R,185.0,ESP,25.6,202104,R,170.0,ARG,22.0,3,R16,132.0,0.0,3.0,77.0,54.0,42.0,10.0,12.0,6.0,7.0,5.0,1.0,85.0,66.0,43.0,6.0,13.0,6.0,10.0
Pune,Hard,A,106234,R,185.0,RUS,29.3,126646,R,188.0,NED,25.6,3,R16,129.0,9.0,6.0,88.0,57.0,47.0,16.0,12.0,1.0,2.0,10.0,6.0,91.0,55.0,44.0,19.0,12.0,7.0,8.0
Pune,Hard,A,105936,R,185.0,SRB,30.8,111581,R,188.0,USA,24.9,3,R16,130.0,9.0,0.0,93.0,67.0,47.0,12.0,14.0,5.0,8.0,4.0,1.0,72.0,42.0,29.0,19.0,13.0,0.0,3.0
Pune,Hard,A,126127,R,185.0,FRA,26.5,200325,R,188.0,FIN,23.7,3,R16,80.0,5.0,2.0,65.0,47.0,38.0,9.0,10.0,1.0,1.0,5.0,2.0,50.0,36.0,27.0,7.0,9.0,0.0,2.0
Pune,Hard,A,109739,L,191.0,GER,27.5,111513,R,188.0,SRB,27.5,3,R16,91.0,11.0,2.0,63.0,45.0,34.0,14.0,10.0,0.0,0.0,6.0,3.0,66.0,40.0,30.0,13.0,10.0,7.0,9.0
Pune,Hard,A,122298,R,188.0,NED,27.2,207925,R,186.5462915601023,ITA,20.6,3,R16,93.0,2.0,3.0,64.0,41.0,30.0,13.0,11.0,4.0,6.0,5.0,0.0,59.0,38.0,24.0,9.0,11.0,0.0,4.0
Pune,Hard,A,106148,R,183.0,ESP,29.7,126523,R,185.0,ESP,25.9,3,R32,100.0,0.0,1.0,60.0,41.0,28.0,10.0,9.0,3.0,4.0,4.0,5.0,79.0,51.0,31.0,10.0,10.0,4.0,9.0
Pune,Hard,A,106065,R,185.0,ITA,30.2,105932,R,185.0,GEO,30.8,3,R32,55.0,3.0,0.0,43.0,22.0,18.0,16.0,8.0,1.0,1.0,2.0,1.0,47.0,25.0,13.0,11.0,8.0,2.0,6.0
Pune,Hard,A,134868,R,188.0,NED,26.5,144719,R,183.0,ESP,25.6,3,R32,94.0,10.0,6.0,63.0,43.0,36.0,9.0,11.0,1.0,2.0,2.0,1.0,60.0,46.0,30.0,9.0,11.0,2.0,5.0
